ID;Nome;Ingredientes
252;Toffee Brickle;["Bolachas de refrigerante insaluadas","açúcar mascavo","manteiga","Chips Chocolate"]
253;Stir Fried Veggies Medley;["Cenouras","talos de aipo","cebolas","brócolis","cogumelos","salada","água","sal","pimenta","açúcar"]
254;Bacon And Egg Breakfast Bake;["Totalmente cozido bacon canadense","Muenster","ovos","leite","pimenta"]
255;Spiced Tea;["açúcar","ch� instant�neo","canela","cravo","sal"]
256;Fruit Pizza;["Cream Cheese","Marshmallow Fluff","Blueberries"]
257;Ham Roll-Ups;["presunto","Cream Cheese","Cebola"]
258;Pineapple Souffle;["manteiga","açúcar","abacaxi","pão","ovos","leite  canela","açúcar  pecans"]
259;Real Whipped Cream That Keeps;["desfavorecida gelatina","água fria","creme pesado","sal","baunilha","açúcar"]
260;Montana Mud Cake;["Margarina","açúcar","cacau","ovos","baunilha","farinha","coconut","pecans"]
261;Diane'S Quick Quiche;["ovos","margarina","bisquick","sal","Queijo su��o","bacon frito","cebola","Basil","marjoram","brócolis"]
262;Egg Drop Soup;["óleo de amendoim","cebola","alho","caldo de galinha","molho de soja","pimenta","cenouras","raiz de gengibre","carne de porco magra","brotes de bambu","bambu","Vagens de ervilha congeladas","óleo de gergelim","ovos"]
263;Summer Berry Sauce;["framboesa congelada","mel","morangos frescos","mirtilos","framboesas congeladas"]
264;Cherry Pie;["Graham Cracker Crust","Leite condensado","suco de limão","Cherry Torta enchimento","Cream Cheese","baunilha"]
265;Baked Bean Casserole;["bacon gotings","alho sal","cebolas","porco","regular","feij�es","Catsup","mostarda seca","pimentão preto","sal","vinagre"]
266;Pumpkin Bread;["abóbora","óleo de salada","açúcar","Farinha","ovos","sal","fermento","bicarbonato de sódio","canela","cravo"]
267;Fried Rice;["Cebolas","Pimenta verde","óleo de salada","arroz","cogumelos","molho de soja","ovos"]
268;Paw Paw'S Pancakes;["ovos","açúcar","farinha","leite","oleo","baunilha"]
269;Speedy White Clam Sauce;["am�ijoas","alho","azeite","salsa","sal"]
270;Pineapple Cranberry Pie;["cranberries","abacaxi","açúcar","farinha","canela","noz-moscado","sal"]
271;Strawberry Yum-Yum;["Margarina","Cracker de Graham migalhas","Dream Chicote","Queijo creme","açúcar","leite frio","morangos"]
272;Blueberry Cream Pie;["Com�rcio de creme azedo","farinha","Sugar","extrato de baunilha","sal","ovo","mirtilos frescos","casca de pastelaria","farinha","manteiga"]
273;Western Style Barbecue;["Frankfurters","manteiga","Campbell's Chunky","Todo Kernel Golden Milho","Lima feijão","molho de churrasco"]
274;Cheese Cake;["lemon gelatra-o","água fervente","suco de limão","cream cheese","açúcar","abacaxi","baunilha","crackers de Graham","Oleo"]
275;Angel Food Cake;["Bolo de farinha","açúcar","ovo branco","creme de t�rtaro","sal","baunilha","amêndoa aromatizante"]
276;Plum Nutty Cake;["Farinha","açúcar","óleo","Baby Food","ovos","canela","pleaspice","pecans"]
277;Pinto Bean Pie;["açúcar","Margarina","pinto feijão","ovos","baunilha"]
278;Speedy Little Devils;["bolo misture","manteiga de amendoim","oleo","creme de marshmallow"]
279;Martha Washington Candy;["Confeiteiros de açúcar","Leite","baunilha","coco","pecans","chocolate","parafina"]
280;24 Hour Salad;["cabe�a alface","cebola","bacon bits","maionese","queijo su��o","Couve-flor","aipo","ervilhas congeladas","açúcar"]
281;Rocky Road Fudge;["Margarina","cacau sem açúcar","xarope de milho leve","água","baunilha","confeiteiro açúcar","marshmallows","nozes"]
282;Ice Cream;["ovos","açúcar","leite  creme","baunilha","sal","leite"]
283;No Bake Persimmon Pudding;["Caqui celulose","açúcar","cracker de Graham migalhas","amendoins","marshmallows","chantilly"]
284;Fruitcake Cookies;["açúcar castanho claro","Ovos","Farinha","canela","leite","fruta cristalizada","pecans"]
285;Chicken And Tortilla Casserole;["Frango","tortillas","cebola","sopa de cogumelo","creme de sopa de galinha","Tomates","pimentão","sal select"]
286;Fruit Pizza;["Queijo creme","Frutas frescas","açúcar","coconut"]
287;Harvard Beets;["Manteiga","Farinha","água fervente","vinagre","açúcar mascavo","sal","pimenta","Terreno"]
288;Clam Chowder;["Bacon","batatas","cebola","moluscos","água","manteiga","sal"]
289;Easy Cranberry Relish;["cranberries frescas","açúcar","laranja","nozes"]
290;Banana Omelette;["Manteiga","bananas","ovos","sal","pimenta caiena","leite","salsa"]
291;Taco Soup;["Hamburger","Cebola","taco","feijão","feij�es de manteiga","tomates","molho de tomate","suco de tomate"]
292;Frosty Pudding Cones;["Leite condensado","suco de limão","açúcar","chantilly","iogurte de frutas"]
293;Easy Marinade;["molho de soja","óleo","vinagre de vinho tinto","oregano","Basil","cebola","Pepper"]
294;Pina Colada Muffins;["Bolo amarelo","Coco aromatizante","aromatizante","coconut","porcas","abacaxi"]
295;Oriental Tossed Salad;["açúcar","Vinagre de vinho tinto","óleo","molho de soja","macarrão de ramen","nozes","Broquetas","alface romaine"]
296;Applesauce Cake;["açúcar branco","açúcar mascavo","oil","AppleSauce","Soda","sal","nozes","canela","Cravo"]
297;Mayonnaise;["óleo","limão","yolk de ovo","mel"]
298;Shepherd'S Pie;["Hamburgo","cebola","Sal","Pepper","batatas"]
299;Fresh Apple Cake;["Apple","Farinha","Sugar","Encaixe","ovos","sal","bicarbonato de sódio","baunilha","noz-moscada","canela"]
300;Brown Rice Pizza(Light);["arroz integral","queijo mussarela","ovo","or�gano","Broqui","abobrinha","cogumelos","cebola","molho de tomate"]
301;Creamy Shells With Broccoli And Ham;["Macaroni","presunto","brócolis congelado","dente de alho","margarina","creme pesado","queijo parmesão"]
302;Chicken Over Rice;["cebola","pimentão","Aipo","caldo de frango","batatas","molho de soja"]
303;Meatball Chop Suey;["carne moída","migalhas de pão","Leite","cebola","ovo","sal","pimenta","lade","água","molho de soja","Cornstarch","água fria","brotos de feijão","caules de cogumelos","arroz"]
304;Vegetable Beef Soup;["carne moída","tomates","sopa de tomate","cebola","água","legumes mistos","batatas","aipo","sal","pimentão"]
305;Hawaiian Marshmallow Pie;["Marshmallows","Abacaxi","Cracker Crumber Crosta de Graham"]
306;Sugar-Free Sweet-N-Sour Stir-Fry;["óleo vegetal","talos de aipo","repolho","castanhas de água","n","cenouras","cebola","abobrinha","pimenta verde"]
307;Graham Cracker Bars;["Biscoitos","Margarina","manteiga","açúcar","pecans"]
308;Red Cabbage;["Bacon","cebola","repolho vermelho","Cozinhar maçãs","vinagre de vinho","açúcar","sal","gel�ia"]
309;Ambrosia Salad;["Abacaxi","Mandarin laranjas","cerejas maraschino","creme azedo","marshmallows","coco flocado"]
310;Sour Cream Pound Cake;["açúcar","margarina","crisco","ovos","farinha de bolo","creme azedo","aromatizante"]
311;Soft Delicious Pumpkin Bars;["Farinha","Faring em p�","sal","canela","ovos","porcas","abóbora","refrigerante","óleo"]
312;Barbecue Sauce;["molho de tomate","açúcar mascavo","vinagre","cebola","sal","alho p�"]
313;Sausage Strata;["pão","salsicha","Queijo su��o","ovos","leite","creme leve","sal","pimenta","noz-moscada","molho de worcestershire"]
314;Pepperoni Spaghetti;["cebola","verde pimenta","carne moída","pepperoni","cogumelos","Espaguete","queijo de mussarela","queijo parmesão"]
315;Florida Punch;["açúcar","água","suco de cranberry","suco de abacaxi","suco de laranja","gengibre ale"]
316;Peachy Cake;["Farinha","óleo","ovos","baunilha","açúcar","assando","suco de p�ssego","pêssegos"]
317;Fruity Ice;["laranjas","bananas","gelo esmagado","AppleSauce","canela"]
318;Five Way Chili;["carne moída","molho de tomate","Ba�a deixa","sal","� terra cominho","Cinnamon � terra","molho de worcestershire","vinagre","chili p�"]
319;Hot Tomatoes And Cucumbers;["pepinos","cebola","manteiga","tomates","sal","pimenta","digo fresco"]
320;Fluffy White Icing;["açúcar","farinha","ovo","crisco","manteiga","baunilha","leite"]
321;Dishpan Cookies;["açúcar mascavo","óleo","ovos","faring em p�","sal","farinha","cozinhar aveia","coco","flocos de milho","Chips","nozes"]
322;Toll House Pie;["ovos","All-Propósito","açúcar","açúcar mascavo","manteiga","Chocolate Chips","Nozes","shell","chantilly"]
323;Crunchy  Onion Burger;["carne moída","cebolas","sal","Rolls"]
324;Cheese Ball;["Cream Cheese","Queijo Cheddar","suco de limão","cebola","mostarda seca","molho de soja","paprika","sal","salsa"]
325;Pumpkin Squares;["farinha","Aveia","açúcar mascavo","abóbora","ovos","açúcar","canela","gengibre","nozes","açúcar mascavo","manteiga"]
326;Old Time Buttermilk Pie;["concha","manteiga","açúcar","farinha","ovos","buttermilk","baunilha","noz-moscada"]
327;Two Sweet Potato Pies;["batatas","ovos","açúcar","baunilha","leite","coconut","casca de pastelaria"]
328;Broccoli-Cauliflower Soup;["brócolis","Couve-flor","Caldo de frango","manteiga","cebola","farinha","leite","queijo cheddar","pimenta preta"]
329;Fresh Apple Cake;["Wesson óleo","açúcar","ovos","maçãs frescas","farinha de bolo","sal","soda","baunilha"]
330;Russian Tea;["açúcar","limão","cravo","canela"]
331;Hunter'S Delight;["manteiga","cebola","carne moída","sal","pimenta","estilo creme","leite","batatas"]
332;Pie Crust(Never Fail);["Farinha","encurtamento","sal","ovo","água","vinagre"]
333;Burnt Caramel Cake Icing;["açúcar","Leite","xarope branco de karo","açúcar"]
334;Chicken Sweet-Sour;["frango","damasco preserva","salada curativo","sopa de cebola"]
335;Microwave Fudge;["Chips de chocolate semi-doce","Chips de chocolate doce","leite condensado","baunilha","porcas"]
336;Breakfast Rolls;["Dinner Rolls","Pudim de butterchot","manteiga","canela","açúcar mascavo","porcas"]
337;Kentucky Cream Candy;["Queijo creme","sal","baunilha","açúcar de confeiteiro","coconut"]
338;Thousand Island Dressing;["Milagre","sopa de tomate","vinagre","doce relish","molho de pimentão","açúcar","mostarda","cebola","alho"]
339;Rolls;["Leite","manteiga","levedura","açúcar","sal","ovos","farinha"]
340;Brownies;["açúcar branco","açúcar mascavo","Cacau","Farinha","ovos","leite","baunilha","noz"]
341;Diabetic Cookies;["Usweetened AppleAuce","Margarina","Baunilha","aveia","pleaspice","Soda","ovos","açúcar mascavo","canela","sal","sal","Nuts"]
342;Chocolate-Dipped Strawberries;["chocolate semi-doce","creme de chicoteamento","amêndoa","morangos"]
343;Working Mother's(Renamed Dad'S Quick Delight);["carne moída","cebolas","Tomates","alho","molho de espaguete chunky","molho de tamari","feij�es"]
344;Chicken With Tarragon;["peitos de frango","cebola","Tarrag�o","Bouillon de frango"]
345;Lemon Jello Vegetable Salad;["Lemon Jello","água","água fria","repolho","aipo","cenoura ralada","pimenta verde","tidbits de abacaxi"]
346;Shrimp Batter;["Farinha","cornstarca","soda","fermento","ovo","água fria","paprika"]
347;Chicken-Cheese Ball;["Frango","Queijo creme","cebola","molho de soja","mayonnaise","pecans","maraschino cereja"]
348;Salted Nut Squares;["amendoim","manteiga","manteiga de amendoim","leite condensado","marshmallows"]
349;Date Cake;["datas","bicarbonato de sódio","água","margarina","açúcar","sal","nozes","ovo","farinha"]
350;Crescent Cake;["Mistura de bolo amarelo","Margarina","ovo","porcas","confeiteiro açúcar","cream cheese","ovos"]
351;Freezer Pie Crust;["encurtamento","farinha","sal","água","xarope branco"]
352;Basic Graham Cracker Crust;["Graham Cracker migalhas","açúcar","manteiga sem sal"]
353;Creamy Chicken And Mushrooms;["Margarina","sem pele","cogumelo","cebola","alho","creme de sopa de cogumelos","leite","xerez","Pepper"]
354;Sweet And Sour Red Cabbage;["Repolho vermelho","sal","sal","açúcar","vinagre de cidra","cebola","cebola"]
355;Hot Rolls;["água","levedura","açúcar","sal","derretido crisco","farinha"]
356;Chicken Casserole;["arroz","sopa de cebola","creme de sopa de cogumelos","água","frango"]
357;Raisin Walnut Shortbread Bars;["Farinha","açúcar","manteiga","ovos","açúcar mascavo","bicarbonato de sódio","nozes","passas","coconut flocado"]
358;Pineapple Parfait Pie;["Shell","N�o  Lemon Jell-O","sorvete de baunilha"]
359;Cherry Supreme;["Graham Cracker migalhas","açúcar branco","manteiga","Cherry Torta enchimento","açúcar","Cream Cheese"]
360;Red Beet Cake;["açúcar","ovos","óleo crisco","chocolate  farinha","soda","sal","baunilha"]
361;Reuben Casserole;["Chucrute","Tomato","Beef","Queijo su��o","semente de alcaravia","pão de centeio","manteiga"]
362;Potato Casserole;["Batatas irlandesas","creme azedo","cebolas","salsa","salsicha"]
363;Carrot-Pineapple Bread;["ovos","açúcar","oil","abacaxi","cenouras","canela","soda","sal","fralda"]
364;Easy Chicken And Dumplings;["frango","margarina","caldo de frango","leite","sopa de frango","farinha","sal"]
365;Delicious Scalloped Potatoes(Without Cheese);["batatas","leite","margarina","sal"]
366;Peanut Butter Oat Cookies;["manteiga","açúcar mascavo","xarope de milho","sal","cozinhar aveia","manteiga de amendoim","chips de chocolate","manteiga","baunilha"]
367;Cherry Salad;["Cherry Pie enchimento","Abacaxi","pecans  marshmallows","leite"]
368;Scalloped Oysters;["ostras","Cracker migalhas","manteiga","sal","creme","l�quido de ostras","molho de worcestershire"]
369;Pie Crust;["encurtamento","manteiga","farinha","sal","água fria"]
370;Oatmeal Cake;["água fervente","aveia","manteiga","açúcar branco","açúcar mascavo","ovos","farinha","sal","canela","soda","baking","baking"]
371;Candle Salad;["abacaxi","banana","maionese","cerejas"]
372;Salmon Croquettes;["salm�o rosa","batatas","cebola","ovo","pimenta","migalhas de pão","óleo vegetal"]
373;Croquettes(Chicken� Fish Or Meat);["Frango","molho croquete","ovo","breadcrumbs","sal","pimenta"]
374;Corn Relish];["milho","cebolas","Aipo","vinagre branco","pimentas doces","pimentas doces verdes","açúcar","Turmeric","mostarda","sal"]
375;Flossie'S Gingerbread;["açúcar","encurtamento","ovo","refrigerante  canela  gengibre","salt","farinha","água","melaço"]
376;Vanilla Wafer Cake;["Manteiga","açúcar","ovos","leite","wafers de baunilha","coco flocado","pecans"]
377;Double Baked Potatoes;["batatas","cebola","bacon","presunto","queijo","manteiga","leite"]
378;Crabmeat Au Gratin;["creme de sopa de camar�o","leite","caranguejo falso","Aipo","pimenta verde","pimentos","amêndoas","ovos","Cheddar queijo","migalhas de pão com manteiga"]
379;Hobo Stew;["carne moída","Catsup","Mostarda","molho de churrasco","batatas","carne de porco","todo o milho do kernel","flocos de cebola"]
380;Lemon Crunch;["manteiga","Farinha","pecans","Cream Cheese","confeiteiro açúcar","Pudim instant�neo de limão","leite"]
381;No Name Cake;["manteiga","leite","ovos","óleo","pronto  pecans"]
382;Gold Rush Brunch;["batatas o'brien","manteiga","farinha","leite","creme azedo","sal","salsa","bacon","ovos"]
383;Pot Roast;["Chuck assado","gengibre","alho","pimentada","paprika","pasta de tomate"]
384;Ham Cheese Oven Omelet;["ovos","leite","carne","cebola","sal","queijo cheddar"]
385;Never Fail Rolls;["manteiga","açúcar","água fervente","água","levedura","ovos","sal","farinha"]
386;Taco Casserole;["carne moída","cebola","alho p�","taco","molho de tomate","creme azedo","queijo cottage","Chips de tortilla","Queijo"]
387;Warm Crabmeat Dip;["Crab","Cream Cheese","Mayo","suco de limão","molho de worcestershire","alho p�","cebola","queijo parmesão"]
388;Herb Butter;["Ervas","Margarina"]
389;Good 'N Easy Yeast Rolls;["açúcar","encurtamento","água","levedura","ovos","farinha"]
390;Southwestern Skillet;["carne moída","Cebola","Tomates","arroz","pimenta verde","azeitonas","pimentão","sal","de alho","sal","queijo cheddar"]
391;Delicious Baked Potato Dish;["Batatas de cozimento","manteiga","queijo cheddar","chicoteando","cebolinha"]
392;Quick Cream Of Broccoli Soup;["brócolis","sopa de frango","leite","farinha"]
393;Cabbage Rolls;["repolho","hamb�rguer","arroz","pimenta","ovo","sal","cebola","tomates"]
394;Coconut Custard Pie;["ovos","leite","bisquick","oleo","baunilha","coconut","açúcar"]
395;Zucchini Pizzas;["molho de espaguete","Mozzarella queijo","Queijo parmesão","pimenta preta fresca","oregano","zucchini","cogumelos"]
396;School Girl Pickles(Sweet Spear);["Alum","pepinos","água","sal","açúcar","especiaria em decapagem"]
397;Earthquake Cake;["bolo de chocolate","Queijo creme","manteiga","açúcar","pecans","coconut"]
398;Mayonnaise Cake;["farinha","cacau","açúcar","sal","água","bicarbonato de sódio","maionese"]
